Pilihan Sekolah,Zona,Jumlah Pendaftar,Jarak Maksimal (meter)
SMP NEGERI 3 BOGOR,Zona 5,8,3529.68
SMP NEGERI 3 BOGOR,Zona 6,4,54395.46
SMP NEGERI 3 BOGOR,Zona 7,2,37809.68
SMP NEGERI 4 BOGOR,Zona 1,92,627.89
SMP NEGERI 4 BOGOR,Zona 2,28,741.29
SMP NEGERI 4 BOGOR,Zona 3,14,4139.48
SMP NEGERI 4 BOGOR,Zona 4,7,2492.21
SMP NEGERI 4 BOGOR,Zona 5,9,2559.68
SMP NEGERI 4 BOGOR,Zona 6,4,113037.73
SMP NEGERI 4 BOGOR,Zona 7,2,34292.74
SMP NEGERI 5,Zona 1,92,436.92
SMP NEGERI 5,Zona 2,28,1640.54
SMP NEGERI 5,Zona 3,14,2651.31
SMP NEGERI 5,Zona 4,7,3223.69
SMP NEGERI 5,Zona 5,9,3026.3
SMP NEGERI 5,Zona 6,5,43925.49
SMP NEGERI 5,Zona 7,2,26587.62
SMP NEGERI 6,Zona 1,92,501.48
SMP NEGERI 6,Zona 2,28,679.8
SMP NEGERI 6,Zona 3,4,5829.45
SMP NEGERI 6,Zona 4,7,1760.0
SMP NEGERI 6,Zona 5,9,1595.97
SMP NEGERI 6,Zona 6,3,88714.38
SMP NEGERI 6,Zona 7,2,33826.65
SMP NEGERI 7 BOGOR,Zona 1,92,644.6
SMP NEGERI 7 BOGOR,Zona 2,28,1724.89
SMP NEGERI 7 BOGOR,Zona 3,14,419.14
SMP NEGERI 7 BOGOR,Zona 4,7,2613.87
SMP NEGERI 7 BOGOR,Zona 5,9,2552.47
SMP NEGERI 7 BOGOR,Zona 6,2,63916.27
SMP NEGERI 7 BOGOR,Zona 7,2,44437.98
SMP NEGERI 8 BOGOR,Zona 1,92,554.14
SMP NEGERI 8 BOGOR,Zona 2,28,2129.18
SMP NEGERI 8 BOGOR,Zona 3,14,2731.97
SMP NEGERI 8 BOGOR,Zona 4,7,4379.1
SMP NEGERI 8 BOGOR,Zona 5,9,3713.96
SMP NEGERI 8 BOGOR,Zona 6,2,161820.59
SMP NEGERI 8 BOGOR,Zona 7,2,37680.95
SMP NEGERI 9 BOGOR,Zona 1,92,389.08
SMP NEGERI 9 BOGOR,Zona 2,28,565.33
SMP NEGERI 9 BOGOR,Zona 3,14,3468.85
SMP NEGERI 9 BOGOR,Zona 4,7,7365.12
SMP NEGERI 9 BOGOR,Zona 5,9,2633.47
SMP NEGERI 9 BOGOR,Zona 6,4,211800.01
SMP NEGERI 9 BOGOR,Zona 7,2,34979.41
