Pilihan Sekolah,Zona,Jarak (meter)
SMP NEGERI 3 BOGOR,Zona 4,5266.190588235295
SMP NEGERI 3 BOGOR,Zona 5,5484.198695652174
SMP NEGERI 3 BOGOR,Zona 6,65804.02333333333
SMP NEGERI 3 BOGOR,Zona 7,119153.23999999999
SMP NEGERI 4 BOGOR,Zona 1,761.3220600858369
SMP NEGERI 4 BOGOR,Zona 2,1926.5771223021582
SMP NEGERI 4 BOGOR,Zona 3,4208.542
SMP NEGERI 4 BOGOR,Zona 4,2718.836666666667
SMP NEGERI 4 BOGOR,Zona 5,5651.005471698113
SMP NEGERI 4 BOGOR,Zona 6,85261.8475
SMP NEGERI 4 BOGOR,Zona 7,248398.97833333336
SMP NEGERI 5,Zona 1,870.8997377049179
SMP NEGERI 5,Zona 2,2122.9254205607476
SMP NEGERI 5,Zona 3,3390.263921568627
SMP NEGERI 5,Zona 4,3863.3025
SMP NEGERI 5,Zona 5,5549.858709677419
SMP NEGERI 5,Zona 6,59663.977777777785
SMP NEGERI 5,Zona 7,87208.69708333333
SMP NEGERI 6,Zona 1,744.3593356643356
SMP NEGERI 6,Zona 2,1844.2783687943263
SMP NEGERI 6,Zona 3,4120.17
SMP NEGERI 6,Zona 4,2796.8922222222222
SMP NEGERI 6,Zona 5,5113.946226415095
SMP NEGERI 6,Zona 6,51280.166666666664
SMP NEGERI 6,Zona 7,175262.701
SMP NEGERI 7 BOGOR,Zona 1,985.3760515021459
SMP NEGERI 7 BOGOR,Zona 2,1836.9554901960782
SMP NEGERI 7 BOGOR,Zona 3,1041.179411764706
SMP NEGERI 7 BOGOR,Zona 4,3948.952222222222
SMP NEGERI 7 BOGOR,Zona 5,4917.320000000001
SMP NEGERI 7 BOGOR,Zona 6,55583.24
SMP NEGERI 7 BOGOR,Zona 7,183434.0314285714
SMP NEGERI 8 BOGOR,Zona 1,923.6319182389938
SMP NEGERI 8 BOGOR,Zona 2,2010.861111111111
SMP NEGERI 8 BOGOR,Zona 3,2860.3330303030307
SMP NEGERI 8 BOGOR,Zona 4,4755.760769230769
SMP NEGERI 8 BOGOR,Zona 5,5667.355714285714
SMP NEGERI 8 BOGOR,Zona 6,92399.295
SMP NEGERI 8 BOGOR,Zona 7,378376.37625
SMP NEGERI 9 BOGOR,Zona 1,815.7733501259446
SMP NEGERI 9 BOGOR,Zona 2,1866.296388888889
SMP NEGERI 9 BOGOR,Zona 3,3006.577727272727
SMP NEGERI 9 BOGOR,Zona 4,3719.132857142857
SMP NEGERI 9 BOGOR,Zona 5,5978.3522641509435
SMP NEGERI 9 BOGOR,Zona 6,151727.64750000002
SMP NEGERI 9 BOGOR,Zona 7,73289.89333333334
